Year,Pick,Tm,Player,Modified WS,Expected Pick Value,Delta WS
1996,13,CHH,Kobe Bryant,173.30,34.65,138.65
1998,9,MIL,Dirk Nowitzki,176.60,45.09,131.51
1995,5,MIN,Kevin Garnett,187.10,59.03,128.07
1997,1,SAS,Tim Duncan,185.50,77.46,108.04
1996,15,PHO,Steve Nash,129.50,23.77,105.73
1992,1,ORL,Shaquille O'Neal,181.70,77.46,104.24
1998,10,BOS,Paul Pierce,138.50,44.27,94.23
2003,1,CLE,LeBron James,170.38,77.46,92.92
2005,4,NOH,Chris Paul,145.52,60.09,85.43
1990,2,SEA,Gary Payton,145.50,61.80,83.70
